ward,precinct,total,democratic,republican,percentDemocratic
11,38,307,261,35,0.850162866449511
12,1,505,397,92,0.786138613861386
12,2,463,377,79,0.814254859611231
12,3,621,506,98,0.814814814814815
12,4,584,453,111,0.775684931506849
12,5,493,335,149,0.679513184584178
12,6,630,486,127,0.771428571428571
12,7,475,418,39,0.88
12,8,538,409,116,0.760223048327137
12,9,467,359,96,0.768736616702356
12,10,645,584,45,0.905426356589147
12,11,559,453,102,0.810375670840787
12,12,520,420,94,0.807692307692308
12,13,577,459,111,0.795493934142114
12,14,464,415,42,0.894396551724138
12,15,467,407,51,0.87152034261242
12,16,460,402,49,0.873913043478261
12,17,597,481,103,0.805695142378559
12,18,445,385,45,0.865168539325843
12,19,514,403,101,0.784046692607004
12,20,605,494,101,0.816528925619835
12,21,541,450,80,0.831792975970425
12,22,482,419,44,0.869294605809129
12,23,549,439,99,0.799635701275046
13,1,433,260,166,0.600461893764434
13,2,366,192,171,0.524590163934426
13,3,370,303,59,0.818918918918919
13,4,502,265,229,0.527888446215139
13,5,530,424,98,0.8
13,6,426,205,217,0.481220657276995
13,7,383,279,90,0.72845953002611
13,8,349,222,125,0.636103151862464
13,9,474,369,95,0.778481012658228
13,10,400,160,234,0.4
13,11,482,287,194,0.595435684647303
13,12,424,304,113,0.716981132075472
13,13,428,327,97,0.764018691588785
13,14,435,326,101,0.749425287356322
13,15,637,521,104,0.817896389324961
13,16,325,276,48,0.849230769230769
13,17,394,253,136,0.642131979695431
13,18,378,205,166,0.542328042328042
13,19,563,481,68,0.854351687388987
13,20,323,156,164,0.48297213622291
13,21,525,248,267,0.472380952380952
13,22,514,260,245,0.505836575875486
13,23,371,295,68,0.795148247978436
13,24,448,317,128,0.707589285714286
13,25,456,351,100,0.769736842105263
13,26,464,304,150,0.655172413793103
13,27,448,289,153,0.645089285714286
13,28,344,270,73,0.784883720930232
13,29,361,262,98,0.725761772853185
13,30,352,305,42,0.866477272727273
13,31,506,255,245,0.50395256916996
13,32,407,178,225,0.437346437346437
13,33,432,217,207,0.502314814814815
13,34,437,378,55,0.864988558352403
13,35,395,297,90,0.751898734177215
13,36,318,258,56,0.811320754716981
13,37,446,364,78,0.816143497757848
13,38,385,189,191,0.490909090909091
13,39,418,332,80,0.794258373205742
13,40,446,306,130,0.68609865470852
13,41,525,448,67,0.853333333333333
13,42,471,223,243,0.473460721868365
13,43,452,306,138,0.676991150442478
13,44,460,384,71,0.834782608695652
13,45,471,283,182,0.600849256900212
13,46,507,376,117,0.741617357001972
13,47,521,426,86,0.817658349328215
13,48,394,216,174,0.548223350253807
14,1,559,254,301,0.45438282647585
14,2,647,515,120,0.795981452859351
14,3,484,404,77,0.834710743801653
14,4,531,268,257,0.504708097928437
14,5,699,609,80,0.871244635193133
14,6,260,222,32,0.853846153846154
14,7,637,513,114,0.805337519623234
14,8,599,447,137,0.746243739565943
14,9,638,370,261,0.579937304075235
14,10,356,276,75,0.775280898876405
14,11,287,253,33,0.881533101045296
14,12,548,397,147,0.724452554744526
14,13,446,354,84,0.79372197309417
14,14,481,402,71,0.835758835758836
14,15,525,463,54,0.881904761904762
14,16,367,290,74,0.790190735694823
14,17,429,353,72,0.822843822843823
14,18,240,175,60,0.729166666666667
14,19,462,378,74,0.818181818181818
14,20,375,301,66,0.802666666666667
14,21,470,385,75,0.819148936170213
14,22,706,467,228,0.661473087818697
14,23,423,291,131,0.687943262411348
14,24,605,321,277,0.530578512396694
14,25,288,235,47,0.815972222222222
14,26,373,333,34,0.892761394101877
14,27,500,372,110,0.744
14,28,408,310,86,0.759803921568627
14,29,375,314,55,0.837333333333333
14,30,323,295,26,0.913312693498452
14,31,261,213,41,0.816091954022988
15,1,427,363,49,0.850117096018735
15,2,267,255,11,0.955056179775281
15,3,285,274,9,0.96140350877193
15,4,495,428,58,0.864646464646465
15,5,465,394,61,0.847311827956989
15,6,504,409,85,0.811507936507936
15,7,289,273,12,0.944636678200692
15,8,481,406,69,0.844074844074844
15,9,642,544,89,0.847352024922118
15,10,661,531,114,0.803328290468986
15,11,589,481,103,0.816638370118845
15,12,580,478,94,0.824137931034483
15,13,482,403,67,0.836099585062241
15,14,429,375,49,0.874125874125874
15,15,430,364,61,0.846511627906977
15,16,540,467,64,0.864814814814815
15,17,278,259,12,0.931654676258993
15,18,260,243,16,0.934615384615385
15,19,407,364,37,0.894348894348894
15,20,285,274,10,0.96140350877193
15,21,235,225,8,0.957446808510638
15,22,293,265,21,0.904436860068259
15,23,306,295,8,0.964052287581699
15,24,291,268,18,0.920962199312715
16,1,574,488,70,0.850174216027875
16,2,347,321,23,0.92507204610951
16,3,315,295,18,0.936507936507936
16,4,407,378,23,0.928746928746929
16,5,257,242,9,0.941634241245136
16,6,322,310,8,0.962732919254658
16,7,358,337,19,0.941340782122905
16,8,257,240,13,0.933852140077821
16,9,334,325,7,0.973053892215569
16,10,324,308,15,0.950617283950617
16,11,373,345,22,0.924932975871314
16,12,328,298,21,0.908536585365854
16,13,425,383,31,0.901176470588235
16,14,286,267,13,0.933566433566434
16,15,346,327,15,0.945086705202312
16,16,314,302,10,0.961783439490446
16,17,482,427,52,0.885892116182573
16,18,418,382,31,0.913875598086124
16,19,360,329,24,0.913888888888889
16,20,272,259,11,0.952205882352941
16,21,314,297,13,0.945859872611465
16,22,333,307,18,0.921921921921922
16,23,492,432,51,0.878048780487805
16,24,183,175,8,0.956284153005464
16,25,408,383,19,0.938725490196078
16,26,272,260,8,0.955882352941176
16,27,281,265,12,0.94306049822064
16,28,325,308,13,0.947692307692308
16,29,304,292,12,0.960526315789473
16,30,290,270,16,0.931034482758621
16,31,347,321,16,0.92507204610951
16,32,479,412,58,0.860125260960334
16,33,290,276,7,0.951724137931034
16,34,308,289,11,0.938311688311688
16,35,529,471,54,0.890359168241966
16,36,247,225,18,0.910931174089069
17,1,489,428,53,0.875255623721881
17,2,429,411,14,0.958041958041958
17,3,427,399,25,0.934426229508197
17,4,519,487,26,0.938342967244701
17,5,334,317,15,0.949101796407186
17,6,443,411,27,0.927765237020316
17,7,428,397,28,0.927570093457944
17,8,400,365,28,0.9125
17,9,329,313,9,0.951367781155015
17,10,550,508,34,0.923636363636363
17,11,332,318,14,0.957831325301205
17,12,601,525,67,0.873544093178037
17,13,354,338,14,0.954802259887006
17,14,484,451,33,0.931818181818182
17,15,439,415,20,0.945330296127563
17,16,496,456,35,0.919354838709677
17,17,435,403,29,0.926436781609195
17,18,467,453,11,0.970021413276231
17,19,255,243,11,0.952941176470588
17,20,508,493,13,0.970472440944882
17,21,502,492,8,0.9800796812749
17,22,396,376,18,0.94949494949495
17,23,284,271,12,0.954225352112676
17,24,438,423,11,0.965753424657534
17,25,350,331,13,0.945714285714286
17,26,438,425,12,0.970319634703196
17,27,401,384,13,0.957605985037406
17,28,345,334,11,0.968115942028986
17,29,422,406,12,0.962085308056872
17,30,421,365,52,0.866983372921615
17,31,254,248,4,0.976377952755906
17,32,343,327,9,0.9533527696793
17,33,290,216,19,0.744827586206897
17,34,291,281,8,0.965635738831615
17,35,291,282,3,0.969072164948454
